session_id,pid,session_index,duration_minutes,days_since_previous_session,jobs_started,jobs_resumed,jobs_completed,jobs_exited,tasks_completed,items_purchased,job_completion_ratio,job_exit_ratio,progression_gain,campaign_progression_gain,primary_game_mode,mode_diversity
p4712_s0001,p4712,1,242.61666666666667,,85,0,84,83,104,384,0.9882352941176472,0.976470588235294,1.0,1.0,FreePlay,3
p10334_s0002,p10334,2,450.0,0.0462152777777777,84,0,83,83,92,212,0.988095238095238,0.988095238095238,1.0,0.0,FreePlay,3
p5281_s0001,p5281,1,100.6,,63,0,62,62,71,383,0.984126984126984,0.984126984126984,1.0,0.97368421,Career,4
p2027_s0001,p2027,1,85.23333333333333,,63,0,46,61,57,112,0.7301587301587301,0.9682539682539684,1.0,0.97368421,Career,4
p2475_s0001,p2475,1,67.83333333333333,,62,0,62,61,71,384,1.0,0.9838709677419356,1.0,0.97368421,Career,4
p3297_s0001,p3297,1,103.33333333333331,,62,0,60,61,70,384,0.967741935483871,0.9838709677419356,1.0,0.97368421,Career,4
p7881_s0001,p7881,1,115.75,,59,0,48,58,56,0,0.8135593220338984,0.9830508474576272,1.0,0.97368421,Career,4
p5191_s0001,p5191,1,141.85,,59,0,59,57,68,383,1.0,0.9661016949152542,1.0,1.0,Career,4
p9367_s0002,p9367,2,441.01666666666665,0.6378819444444445,58,0,58,58,65,0,1.0,1.0,0.9937051255,0.0,FreePlay,3
p9079_s0002,p9079,2,215.86666666666667,1.8695833333333332,57,0,56,56,57,133,0.9824561403508772,0.9824561403508772,1.0,0.86842105,Career,3
p11014_s0010,p11014,10,93.13333333333334,0.0697916666666666,57,0,57,57,57,14,1.0,1.0,0.0,0.0,FreePlay,1
p8112_s0001,p8112,1,1202.95,,56,0,56,55,65,384,1.0,0.9821428571428572,1.0,0.97368421,Career,3
p4943_s0001,p4943,1,491.9333333333333,,55,0,55,54,72,6,1.0,0.9818181818181818,1.0,0.97368421,Career,3
p1386_s0001,p1386,1,269.4166666666667,,55,0,48,54,73,383,0.8727272727272727,0.9818181818181818,1.0,0.97368421,Career,4
p6583_s0002,p6583,2,73.63333333333334,3.051840277777778,55,1,53,55,62,90,0.9464285714285714,0.9821428571428572,1.0,0.89473684,Career,3
p10652_s0012,p10652,12,107.13333333333334,0.0012268518518518,51,0,51,49,61,328,1.0,0.9607843137254902,1.0,0.5,Career,4
p8516_s0010,p8516,10,49.766666666666666,4.935138888888889,51,0,50,50,51,83,0.9803921568627452,0.9803921568627452,1.0,0.71052632,Career,3
p10992_s0001,p10992,1,247.03333333333333,,50,1,49,51,59,274,0.9607843137254902,1.0,1.0,0.73684211,Career,3
p8802_s0002,p8802,2,74.25,0.0001851851851851,50,1,48,50,60,91,0.9411764705882352,0.9803921568627452,1.0,0.97368421,Career,4
p7679_s0002,p7679,2,278.6,0.7552199074074074,49,0,48,48,49,143,0.979591836734694,0.979591836734694,1.0,0.86842105,Career,3
p8923_s0003,p8923,3,137.81666666666666,0.0026273148148148,48,0,40,47,48,140,0.8333333333333334,0.9791666666666666,1.0,0.97368421,Career,3
p2051_s0004,p2051,4,116.46666666666668,98.63958333333332,47,1,48,47,64,89,1.0,0.9791666666666666,1.0,0.97368421,Career,3
p5944_s0001,p5944,1,48.03333333333333,,47,0,47,46,56,224,1.0,0.9787234042553192,1.0,0.97368421,Career,3
p11209_s0001,p11209,1,198.16666666666663,,47,0,47,46,58,380,1.0,0.9787234042553192,1.0,0.97368421,Career,3
p251_s0001,p251,1,59.38333333333333,,46,0,46,45,55,264,1.0,0.9782608695652174,1.0,0.97368421,Career,3
